"","target.priority","altitude..hundreds.of.feet."
"2","1",44
"5","1",60
"6","1",35
"7","1",70
"8","1",40
"11","1",83
"14","2",245
"15","2",245
"16","2",245
"17","1",240
"18","1",240
"19","1",240
"20","1",234
"21","1",234
"22","1",234
"23","1",230
"24","1",230
"25","1",230
"26","1",220
"27","1",220
"28","1",220
"29","2",220
"30","2",220
"31","1",220
"32","1",220
"33","1",220
"34","1",213
"35","1",213
"36","1",213
"37","1",210
"38","1",210
"39","1",210
"40","1",210
"41","1",210
"42","1",210
"43","1",209
"44","1",209
"45","1",209
"46","1",200
"47","1",200
"48","1",200
"49","1",200
"50","1",200
"51","1",200
"52","1",198
"53","1",198
"54","1",198
"55","2",186
"56","2",186
"57","2",186
"59","1",120
"60","1",120
"61","1",100
"62","1",100
"63","1",139
"64","1",139
"65","1",139
"66","1",95
"67","1",95
"68","1",95
"69","1",95
"70","1",95
"71","1",95
"72","1",95
"73","1",95
"74","1",95
"75","1",75
"76","1",75
"77","1",70
"78","1",70
"79","1",70
"80","1",70
"81","1",70
"82","1",70
"85","1",139
"86","1",100
"87","1",100
"88","1",90
"89","1",90
"90","1",85
"91","1",85
"92","1",139
"93","1",139
"94","1",8
"95","1",10
"97","2",130
"98","1",120
"99","1",15
"100","1",180
"101","1",139
"102","1",139
"103","1",80
"104","1",8
"105","1",8
"106","1",21
"107","1",120
"108","1",125
"109","1",120
"110","1",1
"111","1",1
"112","1",85
"113","1",137
"114","1",141
"115","1",105
"116","1",1
"117","1",140
"118","1",18
"119","1",1
"120","1",110
"122","1",1
"123","1",139
"124","1",190
"125","1",193
"126","3",170
"127","1",185
"128","1",190
"129","1",27
"130","1",25
"131","2",105
"132","1",95
"133","1",110
"134","1",100
"135","1",100
"136","1",2
"137","1",20
"138","1",25
"139","1",110
"140","1",30
"141","1",20
"142","1",20
"143","1",20
"144","1",30
"145","1",3
"146","1",2
"147","1",139
"148","1",139
"149","3",200
"150","1",70
"151","1",70
"152","1",15
"153","1",8
"154","1",8
"155","1",8
"156","1",4
"157","1",139
"158","2",160
"159","1",70
"160","1",15
"161","3",135
"162","1",130
"163","1",20
"164","1",20
"165","1",43
"166","1",70
"167","1",139
"168","1",139
"169","1",25
"170","1",25
"171","1",8
"172","1",139
"173","1",1
"174","1",40
"175","1",40
"176","1",1
"177","1",1
"178","1",139
"179","1",139
"180","1",8
"181","1",8
"182","1",250
"183","3",229
"184","2",265
"185","2",253
"188","4",139
"189","4",139
"190","4",139
"191","2",139
"192","3",139
"193","3",139
"194","3",139
"195","3",139
"196","3",139
"197","3",139
"198","3",139
"199","1",295
"200","1",295
"201","1",139
"202","1",139
"203","1",130
"204","1",15
"205","1",15
"206","1",35
"207","1",139
"208","1",139
"209","1",50
"210","1",139
"211","1",1
"212","1",139
"213","1",139
"214","1",156
"215","1",145
"216","1",55
"217","2",250
"218","3",250
"219","3",248
"220","3",246
"221","3",246
"222","3",246
"223","1",245
"224","2",240
"225","2",240
"226","3",235
"227","3",235
"228","3",235
"229","1",230
"230","2",230
"231","1",230
"232","1",230
"233","1",230
"234","2",227
"235","3",139
"236","3",139
"237","3",139
"238","2",139
"239","3",139
"240","3",139
"241","3",139
"242","3",139
"243","3",139
"244","3",139
"245","3",139
"246","3",139
"247","3",139
"248","1",139
"249","1",139
"250","1",139
"251","3",139
"252","3",255
"253","2",266
"254","2",261
"255","2",252
"256","2",230
"257","2",230
"258","2",230
"259","4",213
"260","4",213
"261","4",213
"265","4",139
"266","4",139
"267","4",139
"268","4",139
"269","4",139
"270","4",139
"271","3",139
"276","3",139
"277","3",139
"278","1",284
"279","1",284
"280","1",284
"281","1",284
"282","1",283
"283","1",283
"284","1",283
"285","1",283
"286","1",266
"287","1",266
"288","1",266
"289","1",266
"290","1",266
"291","1",266
"292","1",266
"293","1",266
"294","1",264
"295","1",264
"296","1",264
"297","1",264
"298","1",261
"299","1",261
"300","1",261
"301","2",95
"303","1",20
"304","1",75
"305","1",15
"306","1",6
"307","1",31
"308","1",30
"309","1",100
"310","1",100
"311","1",225
"312","1",225
"313","1",225
"314","3",225
"315","3",225
"316","3",225
"317","1",215
"318","1",215
"319","1",215
"320","1",210
"321","1",210
"322","1",210
"323","1",210
"324","1",210
"325","1",210
"326","1",210
"327","1",210
"328","1",210
"329","1",207
"330","1",207
"331","1",207
"332","1",205
"333","1",205
"334","1",205
"335","1",200
"336","1",200
"337","1",200
"338","1",200
"339","1",200
"340","1",200
"341","1",196
"342","1",196
"343","1",196
"344","1",194
"345","1",194
"346","1",194
"347","1",192
"348","1",192
"349","1",192
"350","1",190
"351","1",190
"352","1",190
"353","1",110
"354","1",110
"355","1",98
"356","1",98
"357","1",95
"358","1",95
"359","1",90
"360","1",90
"361","1",90
"362","1",90
"363","1",87
"364","1",87
"365","1",87
"366","1",84
"367","1",84
"368","1",81
"369","1",81
"370","1",81
"371","1",81
"372","1",81
"373","1",81
"374","1",75
"375","1",75
"376","1",75
"377","1",75
"378","1",75
"379","1",75
"380","1",9
"381","1",220
"382","1",220
"383","1",220
"384","1",205
"385","1",205
"386","1",205
"387","1",200
"388","1",200
"389","1",200
"390","1",200
"391","1",200
"392","1",200
"393","1",200
"394","1",200
"395","1",200
"396","1",200
"397","1",200
"398","1",200
"399","1",200
"400","1",200
"401","1",270
"402","1",270
"403","1",268
"404","1",268
"405","1",268
"406","1",268
"407","1",266
"408","1",266
"409","1",265
"410","1",265
"411","1",264
"412","1",264
"413","1",263
"414","1",263
"415","1",263
"416","1",263
"417","1",262
"418","1",262
"419","1",259
"420","1",259
"421","1",259
"422","1",259
"423","1",258
"424","1",258
"425","1",258
"426","1",258
"427","1",256
"428","1",256
"429","1",254
"430","1",254
"431","1",254
"432","1",254
"433","1",253
"434","1",253
"435","1",253
"436","1",253
"437","1",253
"438","1",253
"439","1",253
"440","1",253
"441","1",253
"442","1",253
"443","1",253
"444","1",253
"445","1",252
"446","1",252
"447","1",252
"448","1",252
"449","1",252
"450","1",252
"451","1",252
"452","1",252
"453","1",251
"454","1",251
"455","2",250
"456","1",250
"457","2",250
"458","1",250
"459","1",248
"460","1",248
"461","1",247
"462","1",247
"463","1",246
"464","1",246
"465","1",245
"466","1",245
"467","1",245
"468","1",245
"469","1",245
"470","1",245
"471","1",245
"472","1",245
"473","1",243
"474","1",243
"475","1",243
"476","1",243
"477","1",243
"478","1",243
"479","1",243
"480","1",243
"481","1",241
"482","1",241
"483","1",240
"484","1",240
"485","1",240
"486","1",240
"487","1",235
"488","1",235
"489","1",235
"490","1",235
"491","1",234
"492","1",234
"493","1",233
"494","1",233
"495","1",230
"496","1",230
"497","1",230
"498","1",230
"499","1",230
"500","1",230
"501","1",261
"502","1",261
"503","1",261
"504","1",261
"505","1",261
"506","1",260
"507","1",260
"508","1",260
"509","1",260
"510","1",260
"511","1",260
"512","1",260
"513","1",260
"514","1",260
"515","1",260
"516","1",260
"517","1",260
"518","1",256
"519","1",256
"520","1",256
"521","1",256
"522","1",256
"523","1",256
"524","1",255
"525","1",255
"526","1",255
"527","1",255
"528","1",252
"529","1",252
"530","1",252
"531","1",252
"532","1",251
"533","1",251
"534","1",251
"535","1",251
"536","1",251
"537","1",251
"538","1",251
"539","1",251
"540","1",250
"541","1",250
"542","1",250
"543","1",250
"544","1",249
"545","1",249
"546","1",249
"547","1",249
"548","1",139
"549","1",139
"550","1",139
"551","1",139
"552","1",280
"553","1",280
"554","1",280
"555","1",280
"556","1",271
"557","1",271
"558","1",271
"559","1",271
"560","1",269
"561","1",269
"562","1",269
"563","1",269
"564","1",269
"565","1",269
"566","1",269
"567","1",269
"568","3",265
"569","3",265
"570","3",265
"571","1",264
"572","1",264
"573","1",264
"574","1",264
"575","1",260
"576","1",260
"577","1",260
"578","1",260
"579","1",259
"580","1",259
"581","1",259
"582","1",259
"583","1",258
"584","1",258
"585","1",258
"586","1",258
"587","1",255
"588","1",255
"589","1",255
"590","1",255
"591","1",255
"592","1",255
"593","1",255
"594","1",255
"595","3",253
"596","3",253
"597","3",253
"598","3",247
"599","3",247
"600","3",247
"601","1",195
"602","1",195
"603","1",195
"604","1",190
"605","1",190
"606","1",190
"607","1",190
"608","1",190
"609","1",190
"610","1",190
"611","1",190
"612","1",190
"613","1",185
"614","1",185
"615","1",185
"616","1",180
"617","1",180
"618","1",180
"619","1",139
"620","1",139
"621","1",139
"622","1",139
"623","1",139
"624","1",139
"625","1",139
"628","1",90
"629","1",90
"630","1",85
"631","1",85
"632","1",85
"633","1",85
"634","1",100
"635","1",64
"636","3",113
"637","1",95
"638","1",80
"639","1",75
"640","1",70
"641","1",66
"642","1",110
"643","1",1
"644","1",90
"648","1",50
"649","2",35
"650","1",1
"651","1",20
"654","1",240
"655","1",240
"656","1",240
"657","1",238
"658","1",238
"659","1",238
"660","1",230
"661","1",230
"662","1",230
"663","1",230
"664","1",230
"665","1",230
"666","1",228
"667","1",228
"668","1",228
"669","1",223
"670","1",223
"671","1",223
"672","1",220
"673","1",220
"674","1",220
"675","1",220
"676","1",220
"677","1",220
"678","1",220
"679","1",215
"680","1",215
"681","1",215
"682","1",215
"683","1",215
"684","1",215
"685","1",215
"686","1",215
"687","1",215
"688","1",215
"689","1",215
"690","1",214
"691","1",214
"692","1",214
"693","1",214
"694","1",214
"695","1",211
"696","1",210
"697","1",210
"698","1",210
"699","1",210
