mission.id,mission.date,theater.of.operations,country,air.force,aircraft.series,mission.type,takeoff.base,takeoff.location,target.id,target.country,target.city.or.area,target.type,target.industry,target.priority,target.latitude,target.longitude,altitude..hundreds.of.feet.,source.id,bomb.type
1,15/08/1943,MTO,USA,12 AF,A36,UNKNOWN OR OTHER,PONTE OLIVO AIRFIELD,SICILY,40675,ITALY,SPADAFORA,UNKNOWN,UNKNOWN,9,38.22,15.37,139,UNKNOWN,HIGH EXPLOSIVES
2,15/08/1943,PTO,USA,5 AF,B24,OBJECTIVE BOMBING,UNKNOWN,UNKNOWN,UNKNOWN,NEW GUINEA,KOMIATUM,RIDGE,UNKNOWN,1,-7.166666667,147,44,9366,HIGH EXPLOSIVES
3,15/08/1943,MTO,USA,12 AF,A36,UNKNOWN OR OTHER,PONTE OLIVO AIRFIELD,SICILY,9630,ITALY,COSENZA,UNKNOWN,UNKNOWN,9,39.27,16.25,139,UNKNOWN,HIGH EXPLOSIVES
4,15/08/1943,MTO,USA,12 AF,A36,UNKNOWN OR OTHER,PONTE OLIVO AIRFIELD,SICILY,16140,ITALY,GIOJA TAURO,UNKNOWN,UNKNOWN,9,38.43,15.9,139,UNKNOWN,HIGH EXPLOSIVES
5,15/08/1943,PTO,USA,5 AF,B24,OBJECTIVE BOMBING,UNKNOWN,UNKNOWN,UNKNOWN,SUMATRA,KILA,VILLAGE,UNKNOWN,1,-1.116666667,103.8833333,60,22585,HIGH EXPLOSIVES
6,15/08/1943,PTO,USA,5 AF,B24,OBJECTIVE BOMBING,UNKNOWN,UNKNOWN,UNKNOWN,NEW GUINEA,KDMIATUM,UNKNOWN,UNKNOWN,1,-7.166666667,147,35,9349,HIGH EXPLOSIVES
7,15/08/1943,PTO,USA,5 AF,B24,SEA SEARCH/ATTACK/PATROL,UNKNOWN,UNKNOWN,UNKNOWN,NEW GUINEA,SALAMAUA,UNKNOWN,UNKNOWN,1,-7.016666667,147.1166667,70,11287,HIGH EXPLOSIVES
8,15/08/1943,PTO,USA,5 AF,B17,OBJECTIVE BOMBING,UNKNOWN,UNKNOWN,UNKNOWN,NEW GUINEA,SALAMAUA,AIRDROME,UNKNOWN,1,-7.016666667,147.1166667,40,11326,HIGH EXPLOSIVES
9,15/08/1943,MTO,USA,12 AF,A36,UNKNOWN OR OTHER,PONTE OLIVO AIRFIELD,SICILY,39469,ITALY,SCILLA,UNKNOWN,UNKNOWN,9,38.23,15.72,139,UNKNOWN,HIGH EXPLOSIVES
10,15/08/1943,MTO,USA,12 AF,A36,UNKNOWN OR OTHER,PONTE OLIVO AIRFIELD,SICILY,16140,ITALY,GIOJA TAURO,UNKNOWN,ARMAMENT AND ORDNANCE PLANTS,9,38.43,15.9,139,UNKNOWN,HIGH EXPLOSIVES
11,15/08/1943,CBI,USA,10 AF,B24,PATROL,UNKNOWN,UNKNOWN,UNKNOWN,BURMA,PORT BLAIR,UNKNOWN,UNKNOWN,1,11.68333333,92.71666667,83,37192,HIGH EXPLOSIVES
12,15/08/1943,ETO,GREAT BRITAIN,RAF,LGT,UNKNOWN OR OTHER,UNKNOWN,UNKNOWN,3735,GERMANY,BERLIN,CITY AREA,CITIES TOWNS AND URBAN AREAS,9,52.53,13.42,250,292817,UNKNOWN
13,15/08/1943,ETO,GREAT BRITAIN,RAF,LGT,UNKNOWN OR OTHER,UNKNOWN,UNKNOWN,3735,GERMANY,BERLIN,CITY AREA,CITIES TOWNS AND URBAN AREAS,9,52.53,13.42,250,292818,UNKNOWN
